,city,company,salary,summary,title
2680,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2681,Austin,University of Texas at Austin,5950.0,"Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...
2682,Austin,Emoters Robotics,85000.0,"At Emoters, we’re developing tiny, autonomous robots that interact with their users much like pets. These robots are being designed to be lifelike, exhibit","Robotics software engineer (involves machine learning, AI, a..."
2683,Austin,University of Texas at Austin,5950.0,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...
2684,Austin,University of Texas at Austin,8541.5,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...
2685,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2686,Austin,University of Texas at Austin,5950.0,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...
2687,Austin,University of Texas at Austin,8541.5,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...
2688,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2689,Austin,University of Texas at Austin,8541.5,"Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...
2690,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2691,Austin,University of Texas at Austin,5950.0,"Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...
2692,Austin,Emoters Robotics,85000.0,"At Emoters, we’re developing tiny, autonomous robots that interact with their users much like pets. These robots are being designed to be lifelike, exhibit","Robotics software engineer (involves machine learning, AI, a..."
2693,Austin,University of Texas at Austin,5950.0,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...
