,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,2015 Volume Sold Liters mean,2015 Volume Sold Liters,Zip Code,2015 Profit Margin mean,2015 Sales Q1,First Date,Last Date
818,4661,GRIMES,314.72,5.82814814815,3751.33,69.4690740741,77.0,17.7943452381,50111,23.2305555556,608.86,2015-01-21,2016-03-16
819,4662,CEDAR RAPIDS,625.35,7.44464285714,7721.42,91.9216666667,57.0,15.8229591837,52405,30.6671428571,2765.76,2015-01-27,2016-03-22
820,4663,PEOSTA,272.5,8.79032258065,3756.12,121.16516129,31.0,16.0362519201,52068,40.5419354839,326.04,2015-01-06,2016-03-29
821,4664,BOONE,255.75,12.1785714286,2657.15,126.530952381,8.0,14.8108133411,50036,42.4323809524,982.64,2015-01-08,2016-03-24
822,4665,ANKENY,426.62,8.36509803922,5822.82,114.172941176,77.0,15.7660154062,50021,38.0803921569,1081.74,2015-01-15,2016-03-31
823,4667,BEVINGTON,356.11,5.93516666667,4582.04,76.3673333333,61.0,17.6529107143,50033,25.4903333333,1096.21,2015-01-05,2016-03-28
824,4668,CLEAR LAKE,1150.5,6.53693181818,13226.63,75.1513068182,17.0,14.5385795455,50428,25.1717045455,2685.78,2015-01-07,2016-03-30
825,4669,DES MOINES,138.02,1.72525,9427.17,117.839625,77.0,82.2522955743,50312,39.289,3502.26,2015-01-22,2016-03-24
826,4670,TRIPOLI,1463.48,8.08552486188,16586.7,91.6392265193,9.0,13.8864647461,50676,30.6799447514,3955.33,2015-01-07,2016-03-30
827,4673,WEST POINT,1255.0,8.83802816901,21106.32,148.636056338,56.0,17.69481556,52656,49.565915493,4819.68,2015-01-07,2016-03-30
828,4674,AMES,482.83,5.74797619048,7061.26,84.0626190476,85.0,18.3243183107,50010,28.0791666667,1936.66,2015-01-05,2016-03-31
829,4675,AMES,259.41,5.08647058824,4080.09,80.0017647059,85.0,19.9063468721,50010,26.7578431373,849.24,2015-01-13,2016-03-29
830,4676,SIOUX CITY,298.89,3.21387096774,5002.91,53.7947311828,97.0,21.0340632252,51101,17.9475268817,530.44,2015-01-08,2016-03-31
831,4677,CORALVILLE,6975.0,90.5844155844,151507.66,1967.63194805,52.0,28.6417501546,52241,656.401168831,13892.94,2015-01-08,2016-03-28
832,4678,ADEL,2096.21,14.1635810811,30260.71,204.464256757,25.0,14.9460384492,50003,68.3406081081,9189.13,2015-01-05,2016-03-21
833,4679,CEDAR RAPIDS,285.0,12.9545454545,3491.16,158.689090909,57.0,13.7882251082,52402,53.1709090909,354.54,2015-01-16,2016-03-28
834,4684,INDIANOLA,538.6,7.48055555556,6525.65,90.6340277778,91.0,14.7414087302,50125,30.23,1610.36,2015-01-06,2016-03-29
835,4685,Dubuque,362.1,6.58363636364,7208.47,131.063090909,31.0,24.4386320346,52001,43.7050909091,2363.21,2015-01-15,2016-03-29
836,4686,CLINTON,426.59,2.92184931507,5965.93,40.8625342466,23.0,21.4725088947,52732,13.6380136986,1445.13,2015-03-25,2015-12-16
837,4687,CEDAR RAPIDS,323.2,7.34545454545,3914.09,88.9565909091,57.0,15.1904761905,52402,29.8372727273,861.91,2015-01-05,2016-01-25
838,4689,FORT MADISON,75.0,9.375,1027.86,128.4825,56.0,15.0442857143,52627,42.84,156.12,2015-01-08,2016-03-31
839,4690,BALDWIN,186.85,9.3425,2205.09,110.2545,49.0,17.2312380952,52207,37.2375,447.96,2015-01-08,2016-03-31
840,4692,KEOKUK,100.5,9.13636363636,1888.8,171.709090909,56.0,18.9631168831,52632,57.72,506.64,2015-01-05,2016-03-31
841,4694,DAVENPORT,556.1,5.561,10152.72,101.5272,82.0,21.072852381,52806,33.8806,1874.76,2015-01-05,2016-03-28
842,4695,ALTOONA,252.75,10.11,3279.84,131.1936,77.0,13.8127238095,50009,43.8048,737.28,2015-01-13,2016-03-29
843,4696,WEST DES MOINES,257.72,3.34701298701,4028.8,52.3220779221,77.0,18.9000610456,50266,17.4546753247,757.97,2015-01-05,2016-03-21
844,4697,IOWA CITY,1503.23,9.88967105263,31897.6,209.852631579,52.0,21.502153245,52240,69.975,10308.35,2015-01-16,2016-03-28
845,4698,FAIRFIELD,275.0,8.08823529412,4107.6,120.811764706,51.0,17.9798179272,52556,40.3020588235,1375.98,2015-01-06,2016-03-15
846,4699,BETTENDORF,202.5,8.80434782609,3626.13,157.657826087,82.0,18.971552795,52722,52.5717391304,988.86,2015-01-05,2016-02-29
847,4700,ALLISON,377.45,6.50775862069,3876.43,66.835,12.0,14.692955665,50602,22.3277586207,581.83,2015-01-13,2015-08-25
848,4701,BOONE,240.75,16.05,2714.28,180.952,8.0,13.6566349206,50036,60.644,198.18,2015-01-06,2016-03-15
849,4702,FORT DODGE,406.5,14.5178571429,5826.5,208.089285714,94.0,18.9217687075,50501,69.7114285714,1365.6,2015-02-19,2016-01-04
850,4704,COUNCIL BLUFFS,484.92,7.576875,5433.81,84.90328125,78.0,15.9638002232,51501,28.33203125,1020.34,2015-01-07,2016-03-30
851,4705,CORALVILLE,438.0,11.5263157895,6500.52,171.066315789,52.0,17.197443609,52241,57.1247368421,1476.48,2015-01-20,2016-03-29
852,4706,CLINTON,75.0,9.375,998.94,124.8675,23.0,13.3971428571,52732,41.64,242.52,2015-01-07,2016-03-30
853,4707,CLINTON,73.5,12.25,1373.46,228.91,23.0,18.3476190476,52732,76.33,537.24,2015-01-13,2016-03-16
854,4708,GLENWOOD,1150.5,11.2794117647,12480.48,122.357647059,65.0,11.6292623716,51534,41.0094117647,3242.34,2015-01-05,2016-03-28
855,4709,AMES,368.25,9.44230769231,5532.84,141.867692308,85.0,16.5708424908,50010,47.3061538462,1079.16,2015-01-20,2016-03-29
856,4710,DUBUQUE,225.5,6.63235294118,3425.14,100.739411765,31.0,17.1107563025,52002,33.68,1373.92,2015-01-13,2016-03-09
857,4711,DUBUQUE,178.5,9.39473684211,3243.48,170.709473684,31.0,18.5611027569,52002,56.9273684211,909.24,2015-01-12,2016-03-28
858,4712,DUBUQUE,254.75,6.36875,3482.92,87.073,31.0,17.0655714286,52001,29.0825,828.95,2015-01-06,2016-03-29
859,4713,CORALVILLE,337.5,9.375,4753.62,132.045,52.0,15.2018518519,52241,44.2658333333,1140.04,2015-01-08,2016-03-31
860,4714,INDIANOLA,117.0,11.7,1370.16,137.016,91.0,12.8883809524,50125,45.792,223.2,2015-01-07,2016-03-30
861,4715,WEST DES MOINES,376.5,10.4583333333,5369.4,149.15,77.0,15.6850793651,50265,49.8166666667,1305.54,2015-01-12,2016-03-28
862,4717,BETTENDORF,139.33,6.05782608696,1862.3,80.9695652174,82.0,16.3003029312,52722,27.1573913043,284.01,2015-01-08,2016-03-31
863,4718,WEST DES MOINES,391.5,14.5,5152.86,190.846666667,77.0,15.7647266314,50266,63.7844444444,1449.48,2015-01-20,2016-03-08
864,4719,WEST DES MOINES,279.0,9.96428571429,4179.72,149.275714286,77.0,15.5719727891,50265,49.8685714286,1317.0,2015-01-05,2016-03-28
865,4720,CHARITON,259.5,9.98076923077,4291.02,165.039230769,59.0,16.9467948718,50049,55.0292307692,753.12,2015-01-08,2016-03-31
866,4721,BURLINGTON,190.5,11.90625,3151.2,196.95,29.0,18.0372619048,52601,65.6775,696.24,2015-01-08,2016-03-24
867,4722,BURLINGTON,243.0,12.15,4086.72,204.336,29.0,19.9503809524,56201,68.139,570.84,2015-01-08,2016-03-31
868,4723,CEDAR FALLS,105.0,11.6666666667,1405.32,156.146666667,7.0,14.4893121693,50613,52.4133333333,327.72,2015-02-11,2016-03-23
869,4724,NEWTON,88.5,11.0625,975.9,121.9875,50.0,11.9945238095,50208,41.355,162.0,2015-01-06,2016-03-29
870,4725,ANKENY,622.3,5.87075471698,8589.38,81.0318867925,77.0,17.0828751123,50023,27.0709433962,2220.88,2015-01-14,2016-03-23
871,4726,ANKENY,363.0,9.81081081081,4833.96,130.647567568,77.0,14.0541570142,50021,43.7124324324,786.78,2015-01-08,2016-03-31
872,4727,ANKENY,202.5,9.64285714286,2875.5,136.928571429,77.0,15.9369614512,50021,45.8685714286,791.7,2015-01-26,2016-03-21
873,4728,IOWA CITY,157.0,7.85,2763.77,138.1885,52.0,17.764952381,52240,46.1015,684.06,2015-01-07,2016-03-16
874,4730,JOHNSTON,225.0,9.0,3304.86,132.1944,77.0,16.2979047619,50131,44.2728,609.78,2015-02-03,2016-03-08
875,4731,CLIVE,288.0,9.29032258065,4532.22,146.200645161,77.0,16.760921659,50325,48.7470967742,1326.84,2015-01-12,2016-03-21
876,4733,URBANDALE,436.2,10.905,5596.2,139.905,77.0,13.9730595238,50322,46.662,800.34,2015-02-16,2016-02-29
877,4734,URBANDALE,687.0,11.6440677966,8452.14,143.256610169,77.0,13.3708474576,50322,47.8830508475,2611.92,2015-01-12,2016-03-21
878,4735,OTTUMWA,213.0,10.65,3443.04,172.152,90.0,18.5959047619,52501,57.408,433.02,2015-01-06,2016-03-22
879,4736,MARION,185.25,9.2625,2301.84,115.092,57.0,14.5001904762,52302,38.445,868.68,2015-01-13,2016-03-29
880,4738,COUNCIL BLUFFS,294.0,10.1379310345,3863.52,133.224827586,78.0,16.7155377668,51501,44.4393103448,1416.14,2015-01-07,2016-03-30
881,4739,COUNCIL BLUFFS,94.5,9.45,1815.0,181.5,78.0,19.6299047619,51503,60.618,598.56,2015-02-17,2016-03-08
882,4740,COUNCIL BLUFFS,270.0,10.0,3951.24,146.342222222,78.0,15.0474074074,51501,48.8266666667,469.68,2015-01-13,2016-03-30
883,4741,COUNCIL BLUFFS,361.5,10.3285714286,5104.86,145.853142857,78.0,15.1088435374,51503,48.7765714286,534.3,2015-01-06,2016-03-15
