,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,Zip Code,2015 Volume Sold Liters,2015 Volume Sold Liters mean,2015 Profit Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
156,2837,WATERLOO,1555.68,21.9109859155,7,2.60415828303,50702,14.3984507042,629.25,8.86267605634,427.38,180.53,2015-01-08,2016-03-31
157,2838,DAVENPORT,1008.62,19.0305660377,82,2.53418388739,52806,11.9441509434,506.75,9.56132075472,332.06,361.72,2015-01-14,2016-03-30
158,2839,DAVENPORT,422.88,16.9152,82,1.54549206349,52804,12.9576,295.5,11.82,184.21,230.03,2015-01-15,2016-03-31
159,2840,BETTENDORF,1324.06,13.3743434343,82,2.24727272727,52722,10.176969697,697.0,7.0404040404,407.01,438.62,2015-01-05,2016-03-21
160,2841,CEDAR RAPIDS,2428.88,22.6998130841,57,2.5144459279,52403,17.268317757,1136.0,10.6168224299,726.09,136.88,2015-01-08,2016-03-31
161,2843,CEDAR RAPIDS,1235.97,6.82856353591,57,2.39694817153,52402,4.40640883978,714.5,3.94751381215,172.2,264.0,2015-01-05,2016-03-28
162,2844,IOWA CITY,1488.71,17.3105813953,52,2.18969176818,52240,8.09941860465,759.5,8.83139534884,309.13,162.08,2015-01-07,2016-03-30
163,2845,COUNCIL BLUFFS,800.56,32.0224,78,3.13363809524,51503,6.5712,279.0,11.16,157.46,280.1,2015-01-05,2016-03-07
164,2846,CEDAR RAPIDS,1064.12,8.4453968254,57,1.97637043516,52404,5.70222222222,705.87,5.60214285714,289.52,85.84,2015-01-06,2016-03-15
165,2847,MARION,616.47,14.3365116279,57,2.16949427833,52302,10.1704651163,312.0,7.25581395349,263.87,93.55,2015-01-07,2016-03-30
166,2848,ANKENY,923.14,15.9162068966,77,1.77616858238,50023,9.7275862069,514.0,8.86206896552,196.98,85.61,2015-01-13,2016-02-09
167,2849,DES MOINES,343.8,10.4181818182,77,2.1799025974,50320,6.87636363636,169.14,5.12545454545,73.98,536.52,2015-01-07,2016-03-30
168,2850,DES MOINES,591.51,11.3751923077,77,2.09567460317,50313,5.29403846154,307.25,5.90865384615,89.62,365.7,2015-01-12,2016-03-14
169,2851,FORT DODGE,810.72,21.9113513514,94,2.53081081081,50501,13.4975675676,341.5,9.22972972973,194.47,412.32,2015-01-06,2016-03-01
170,2852,DES MOINES,1182.65,20.748245614,77,2.79834400817,50310,8.16385964912,477.5,8.37719298246,117.84,200.62,2015-01-29,2016-03-03
171,3013,BLOOMFIELD,2005.82,11.7989411765,26,2.61034640523,52537,5.77388235294,902.75,5.31029411765,320.07,226.0,2015-01-07,2016-03-30
172,3041,COLFAX,1516.29,13.0714655172,50,2.28213430487,50054,8.15293103448,783.98,6.75844827586,261.68,212.46,2015-01-06,2016-02-16
173,3045,BRITT,1845.93,17.5802857143,41,2.3608904006,50423,12.6800952381,942.5,8.97619047619,534.9,195.13,2015-01-07,2016-03-30
174,3054,GRINNELL,1990.81,10.7032795699,79,2.83380056324,50112,4.22274193548,733.39,3.94295698925,549.31,890.64,2015-10-28,2016-02-24
175,3056,CLARION,1119.64,12.0391397849,99,2.07916026626,50525,7.55688172043,588.25,6.3252688172,285.54,7937.36,2015-11-12,2016-03-22
176,3065,MONTEZUMA,1287.66,11.6005405405,79,2.28261976262,50171,3.94864864865,621.0,5.59459459459,151.72,9975.54,2015-01-08,2015-01-29
177,3162,MUSCATINE,3391.65,12.5153136531,70,1.95118764521,52761,8.71922509225,2055.0,7.58302583026,769.98,2961.54,2015-01-08,2015-03-26
178,3354,DAVENPORT,35565.94,113.267324841,82,3.3792496589,52807,60.6327707006,16506.75,52.5692675159,5125.26,99.54,2015-01-08,2015-03-26
179,3385,CEDAR RAPIDS,76103.55,159.212447699,57,3.27836987723,52402,63.7920920502,31563.0,66.0313807531,18221.75,1561.68,2015-01-08,2015-03-26
180,3390,MILFORD,24083.7,30.6798726115,30,3.16667060255,51351,17.1240127389,9740.31,12.4080382166,4933.77,266.13,2015-01-08,2015-03-25
181,3393,RICEVILLE,234.69,8.38178571429,66,1.15827097506,50466,12.1628571429,199.5,7.125,38.84,2021.35,2015-01-05,2015-02-05
182,3400,DES MOINES,7370.75,24.0874183007,77,3.00907808601,50317,7.40846405229,2658.62,8.68830065359,1875.03,7495.4,2015-01-05,2015-03-25
183,3403,COLUMBUS JUNCTION,1556.08,7.37478672986,58,2.55587997442,52738,4.52113744076,671.65,3.18317535545,353.65,1449.15,2015-01-08,2015-01-29
184,3417,MARENGO,5343.68,15.7167058824,48,2.16878867102,52301,7.53947058824,2655.5,7.81029411765,879.52,12567.88,2015-01-05,2015-03-26
